SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,163 Shipley St,San Francisco,CA,94107,925000,2,1.0,San Francisco,801,10427,1992,1,1155,599,Active,July-31-2021 02:00 PM,July-31-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/163-Shipley-94107/home/1950146,San Francisco MLS,421576170,N,Y,37.7805383,-122.4018925
MLS Listing,,Condo/Co-op,2655 Bush St #207,San Francisco,CA,94115,1275000,2,2.0,San Francisco,,33520,2017,6,,814,Active,August-1-2021 02:00 PM,August-1-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/2655-Bush-St-94115/unit-207/home/144064060,San Francisco MLS,421574771,N,Y,37.7859441,-122.4408016
MLS Listing,,Condo/Co-op,900 Bush St #714,San Francisco,CA,94109,735000,2,2.0,San Francisco,802,,1982,15,916,1113,Active,,,http://www.redfin.com/CA/San-Francisco/900-Bush-St-94109/unit-714/home/1914588,San Francisco MLS,421573013,N,Y,37.7899069,-122.4123875
MLS Listing,,Multi-Family (2-4 Unit),28 - 30 Sonoma St,San Francisco,CA,94133,1595000,4,2.0,San Francisco,1470,751,1906,19,1085,,Active,July-31-2021 02:00 PM,July-31-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/28-Sonoma-St-94133/unit-30/home/110052560,San Francisco MLS,421571244,N,Y,37.8002501,-122.4061984
MLS Listing,,Condo/Co-op,1117 Ocean Ave #308,San Francisco,CA,94112,1198000,3,2.5,San Francisco,1450,7642,2005,55,826,705,Active,,,http://www.redfin.com/CA/San-Francisco/1117-Ocean-Ave-94112/unit-308/home/12278050,San Francisco MLS,421559724,N,Y,37.723237,-122.4545155
MLS Listing,,Multi-Family (2-4 Unit),22 30th St,San Francisco,CA,94110,998000,3,2.0,San Francisco,1604,801,1907,58,622,,Active,,,http://www.redfin.com/CA/San-Francisco/22-30th-St-94110/home/808517,San Francisco MLS,421558100,N,Y,37.7424885,-122.422707
MLS Listing,,Condo/Co-op,388 Fulton St #405,SAN FRANCISCO,CA,94102,898000,2,1.0,SAN FRANCISCO,720,,2016,86,1247,639,Active,,,http://www.redfin.com/CA/San-Francisco/388-Fulton-St-94102/unit-405/home/105419644,MLSListings,ML81842102,N,Y,37.7790326,-122.4231449
MLS Listing,,Condo/Co-op,248 Myrtle St,San Francisco,CA,94109,799000,2,1.0,San Francisco,975,3828,1900,87,819,461,Active,July-31-2021 02:00 PM,July-31-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/248-Myrtle-St-94109/home/1491675,San Francisco MLS,421544867,N,Y,37.7852487,-122.4221514
MLS Listing,,Single Family Residential,610 Ortega St,San Francisco,CA,94122,4375000,4,6.5,San Francisco,,3968,1951,1,,,Active,July-31-2021 01:00 PM,July-31-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/610-Ortega-St-94122/home/903952,San Francisco MLS,421575348,N,Y,37.7549076,-122.4701427
MLS Listing,,Condo/Co-op,451 Kansas St #448,SAN FRANCISCO,CA,94107,1248000,2,2.5,SAN FRANCISCO,1030,80311,2007,1,1212,636,Active,July-30-2021 05:00 PM,July-30-2021 07:00 PM,http://www.redfin.com/CA/San-Francisco/451-Kansas-St-94107/unit-448/home/23424279,MLSListings,ML81856017,N,Y,37.7639023,-122.4030146
MLS Listing,,Condo/Co-op,1543 Mcallister St #5,San Francisco,CA,94115,729000,1,1.0,San Francisco,663,3781,,1,1100,311,Active,July-31-2021 11:00 AM,July-31-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/1543-McAllister-St-94115/unit-5/home/1839055,San Francisco MLS,421576382,N,Y,37.77762,-122.43745
MLS Listing,,Single Family Residential,1833 10th Ave,San Francisco,CA,94122,2495000,3,2.0,San Francisco,3000,3000,1985,1,832,,Active,August-1-2021 12:00 PM,August-1-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/1833-10th-Ave-94122/home/1072117,San Francisco MLS,421578940,N,Y,37.7540282,-122.4669254
MLS Listing,,Condo/Co-op,9 Perego Ter #9,San Francisco,CA,94131,1175000,2,2.0,San Francisco,1280,36709,1962,1,918,428,Active,July-30-2021 12:00 PM,July-30-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/9-Perego-Ter-94131/unit-9/home/102815368,San Francisco MLS,421569346,N,Y,37.7506312,-122.4445564
MLS Listing,,Condo/Co-op,388 Fulton St #603,San Francisco,CA,94102,609000,0,1.0,San Francisco,326,12509,2016,1,1868,445,Active,,,http://www.redfin.com/CA/San-Francisco/388-Fulton-St-94102/unit-603/home/109464798,San Francisco MLS,421579810,N,Y,37.7790326,-122.4231449
MLS Listing,,Condo/Co-op,373 Capp St,San Francisco,CA,94110,1195000,3,2.0,San Francisco,1400,2792,1906,1,854,275,Active,July-31-2021 01:00 PM,July-31-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/373-Capp-St-94110/home/110028773,San Francisco MLS,421579803,N,Y,37.760767,-122.417851
MLS Listing,,Townhouse,1780 Bancroft Ave #554,San Francisco,CA,94124,536733,2,1.5,San Francisco,1117,100298,2009,1,481,433,Active,July-31-2021 11:00 AM,July-31-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/1780-Bancroft-Ave-94124/unit-554/home/40457229,BAREIS,421578944,N,Y,37.7273744,-122.3956639
MLS Listing,,Multi-Family (2-4 Unit),,San Francisco,CA,94118,2250000,3,1.0,San Francisco,2355,3000,,1,955,,Active,,,http://www.redfin.com/CA/San-Francisco/Undisclosed-address-94118/home/2010408,San Francisco MLS,421575179,N,Y,37.7820959,-122.46352
MLS Listing,,Single Family Residential,111 Middlefield Dr,San Francisco,CA,94132,1780000,3,2.0,San Francisco,1415,3301,1950,1,1258,,Active,July-31-2021 12:30 PM,July-31-2021 03:30 PM,http://www.redfin.com/CA/San-Francisco/111-Middlefield-Dr-94132/home/1380910,San Francisco MLS,421579708,N,Y,37.7319845,-122.4865307
MLS Listing,,Single Family Residential,720 Laguna Honda Blvd,San Francisco,CA,94127,1995000,5,2.0,San Francisco,2289,3197,1927,1,872,,Active,July-31-2021 11:00 AM,July-31-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/720-Laguna-Honda-Blvd-94127/home/1989644,San Francisco MLS,421574917,N,Y,37.7444718,-122.4570075
MLS Listing,,Condo/Co-op,44 Lloyd St,San Francisco,CA,94117,1150000,2,1.0,San Francisco,,2400,1900,1,,330,Active,July-31-2021 02:00 AM,July-31-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/44-Lloyd-St-94117/home/1777213,San Francisco MLS,421578066,N,Y,37.7698734,-122.4358306
MLS Listing,,Condo/Co-op,126 Clayton St,San Francisco,CA,94117,1595000,3,3.0,San Francisco,,2918,1908,1,,310,Active,July-31-2021 01:00 PM,July-31-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/126-Clayton-St-94117/home/175896723,San Francisco MLS,421578680,N,Y,37.7741576,-122.4493525
MLS Listing,,Condo/Co-op,300 Berry St #1006,San Francisco,CA,94158,825000,1,1.0,San Francisco,693,,2009,1,1190,617,Active,July-31-2021 02:00 PM,July-31-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/300-Berry-St-94158/unit-1006/home/23455304,San Francisco MLS,421576632,N,Y,37.77393,-122.396241
MLS Listing,,Condo/Co-op,250 King St #582,San Francisco,CA,94107,789000,1,1.0,San Francisco,882,213232,2004,1,895,862,Active,,,http://www.redfin.com/CA/San-Francisco/250-King-St-94107/unit-582/home/22889665,San Francisco MLS,421579066,N,Y,37.7781222,-122.3932903
MLS Listing,,Single Family Residential,775 CLEMENTINA St,San Francisco,CA,94103,2000000,3,3.0,Soma,2150,1875,1923,1,930,,Active,,,http://www.redfin.com/CA/San-Francisco/775-Clementina-St-94103/home/718778,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40960487,N,Y,37.7743924,-122.4116632
MLS Listing,,Single Family Residential,4366 26th St,San Francisco,CA,94131,3295000,4,3.0,San Francisco,2765,2848,1955,1,1192,,Active,July-31-2021 01:00 PM,July-31-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/4366-26th-St-94114/home/1328430,San Francisco MLS,421564950,N,Y,37.748031,-122.43747
MLS Listing,,Multi-Family (2-4 Unit),1490 20th Ave,San Francisco,CA,94122,1980000,9,6.0,San Francisco,3590,2374,1988,1,552,,Active,July-31-2021 02:00 PM,July-31-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1490-20th-Ave-94122/home/2000080,San Francisco MLS,421578140,N,Y,37.7600257,-122.477782
MLS Listing,,Condo/Co-op,1446 Sacramento St,San Francisco,CA,94109,1198000,2,2.0,San Francisco,,4726,1908,1,,434,Active,July-31-2021 02:00 PM,July-31-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1446-Sacramento-St-94109/home/21625292,San Francisco MLS,421576696,N,Y,37.7921231,-122.4167856
MLS Listing,,Condo/Co-op,80 Jennings Ct,SAN FRANCISCO,CA,94124,890000,3,2.0,SAN FRANCISCO,1212,,1995,1,734,,Active,August-1-2021 01:00 PM,August-1-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/80-Jennings-Ct-94124/home/1184720,MLSListings,ML81855912,N,Y,37.7170876,-122.3969223
MLS Listing,,Single Family Residential,380 Laidley St,San Francisco,CA,94131,2795000,4,3.0,San Francisco,2600,2600,1997,1,1075,,Active,July-31-2021 11:00 AM,July-31-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/380-Laidley-St-94131/home/1977232,San Francisco MLS,421565044,N,Y,37.7372319,-122.4294383
MLS Listing,,Condo/Co-op,454 Frederick St,San Francisco,CA,94117,1695000,3,2.0,San Francisco,1628,2500,1900,1,1041,400,Active,July-31-2021 12:00 PM,July-31-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/454-Frederick-St-94117/home/1987508,San Francisco MLS,421579404,N,Y,37.7667113,-122.4518769
MLS Listing,,Condo/Co-op,280 Spear St Unit 1F,San Francisco,CA,94105,1095000,2,1.0,San Francisco,823,47916,,1,1330,1118,Active,,,http://www.redfin.com/CA/San-Francisco/280-Spear-St-94105/unit-1F/home/174716077,San Francisco MLS,421579568,N,Y,37.7903739,-122.3913812
MLS Listing,,Single Family Residential,150 32nd Ave,San Francisco,CA,94121,3995000,6,4.5,San Francisco,4671,3188,1914,1,855,,Active,July-31-2021 02:00 PM,July-31-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/150-32nd-Ave-94121/home/970898,San Francisco MLS,421578391,N,Y,37.7858943,-122.4928121
MLS Listing,,Condo/Co-op,3191 California St,San Francisco,CA,94115,1188000,2,2.0,Lower Pac Hts,1048,3256,1905,1,1134,447,Active,July-31-2021 12:00 PM,July-31-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/3191-California-St-94115/home/1060416,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40960899,N,Y,37.7870419,-122.4464502
MLS Listing,,Condo/Co-op,1450 Franklin St #605,San Francisco,CA,94109,1599000,2,2.0,San Francisco,1326,12318,2017,1,1206,1027,Active,July-31-2021 12:00 PM,July-31-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/1450-Franklin-St-94109/unit-605/home/125805601,San Francisco MLS,421574525,N,Y,37.7881104,-122.4232776
MLS Listing,,Multi-Family (2-4 Unit),254 Roosevelt Way,San Francisco,CA,94114,1995000,5,3.0,San Francisco,2500,2750,1904,1,798,,Active,,,http://www.redfin.com/CA/San-Francisco/254-Roosevelt-Way-94114/home/1629257,San Francisco MLS,421579345,N,Y,37.766044,-122.440677
MLS Listing,,Condo/Co-op,163 Octavia St,San Francisco,CA,94102,995000,1,1.0,San Francisco,1037,5211,1900,1,959,400,Active,August-1-2021 11:30 AM,August-1-2021 01:30 PM,http://www.redfin.com/CA/San-Francisco/163-Octavia-St-94102/home/114075434,San Francisco MLS,421579202,N,Y,37.7737576,-122.4242509
MLS Listing,,Condo/Co-op,2016 Pacific Ave #201,San Francisco,CA,94109,1595000,2,2.5,San Francisco,1162,8779,1989,1,1373,606,Active,July-31-2021 01:00 PM,July-31-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/2016-Pacific-Ave-94109/unit-201/home/1609884,San Francisco MLS,421575731,N,Y,37.7943768,-122.4289066
MLS Listing,,Condo/Co-op,2336 North Point St,San Francisco,CA,94123,1895000,2,1.0,San Francisco,1545,3424,1929,1,1227,300,Active,July-31-2021 01:00 PM,July-31-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/2336-N-Point-St-94123/home/108319426,San Francisco MLS,421575980,N,Y,37.8025911,-122.4457995
MLS Listing,,Single Family Residential,1936 23rd Ave,San Francisco,CA,94116,1695000,4,2.0,San Francisco,2285,2996,1940,1,742,,Active,July-31-2021 01:00 PM,July-31-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1936-23rd-Ave-94116/home/1889284,San Francisco MLS,421577875,N,Y,37.7514389,-122.4803135
MLS Listing,,Single Family Residential,532 Myra Way,San Francisco,CA,94127,1195000,2,1.0,San Francisco,1087,2495,1948,1,1099,,Active,July-31-2021 11:00 AM,July-31-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/532-Myra-Way-94127/home/1369476,San Francisco MLS,421571378,N,Y,37.7378862,-122.4509148
MLS Listing,,Condo/Co-op,529 Oak St,San Francisco,CA,94102,1799000,3,2.0,San Francisco,1540,2294,1900,1,1168,270,Active,July-30-2021 04:00 PM,July-30-2021 06:00 PM,http://www.redfin.com/CA/San-Francisco/529-Oak-St-94102/home/25707445,San Francisco MLS,421565872,N,Y,37.7741214,-122.428152
MLS Listing,,Condo/Co-op,2250 24th St #336,San Francisco,CA,94107,630000,1,1.0,San Francisco,602,80224,1989,1,1047,539,Active,July-31-2021 01:00 PM,July-31-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/2250-24th-St-94107/unit-336/home/2027769,BAREIS,421578499,N,Y,37.7533831,-122.4021236
MLS Listing,,Single Family Residential,609 Garfield,San Francisco,CA,94132,1088000,2,1.5,Merced Heights,900,1500,1949,1,1209,,Active,August-1-2021 01:00 PM,August-1-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/609-Garfield-St-94132/home/1632239,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40960886,N,Y,37.7195326,-122.4683184
MLS Listing,,Single Family Residential,738 Geneva Ave,San Francisco,CA,94112,1195000,3,2.0,San Francisco,1582,2378,1960,1,755,,Active,,,http://www.redfin.com/CA/San-Francisco/738-Geneva-Ave-94112/home/823152,San Francisco MLS,421579415,N,Y,37.7182103,-122.4431188
MLS Listing,,Condo/Co-op,3676 16th St,San Francisco,CA,94114,1295000,3,2.0,San Francisco,1538,2874,,1,842,300,Active,July-29-2021 05:30 PM,July-29-2021 07:00 PM,http://www.redfin.com/CA/San-Francisco/3676-16th-St-94114/home/175892472,San Francisco MLS,421579265,N,Y,37.7643562,-122.4347768
